feedback_id,task_type_code,task_type_description,is_task_type_level
204a8bcb-9f82-4fd0-8485-45e8ad64c49d,FO_4.2,Appeler une fonction déclaré,f
213c6063-3667-48dd-a55c-74e6339cf819,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,t
232f28b6-0c8e-4c0f-8e52-c423a2f5a770,FO_1.1.1.6,Produire le corps d'une fonction,t
24e24e7e-7a0c-4a4a-b97a-69a8cbb61981,FO_4.2,Appeler une fonction déclaré,f
26f4c39d-7215-4aa4-a5f4-f7627690da70,FO_1.1.1.1,Déterminer le nom d'une fonction,f
2734321b-a5ed-4e69-997f-938e07671307,FO_1.1.1.6,Produire le corps d'une fonction,t
2904e1ee-0cdf-40e3-951e-d28ad3abf429,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
2b946524-71f2-48a1-a2ea-e940c46a948c,FO_1.1.1.1,Déterminer le nom d'une fonction,f
2c582315-2937-426f-b761-4b9d4528bcea,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",t
2ca31333-1929-4744-be26-20a857b2a7b3,FO_4.2,Appeler une fonction déclaré,f
30ea5484-9600-42f7-8d2d-782e88ce8266,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
31d08bd7-3245-4465-b1c0-3caa83d981d2,FO_1.2.4,Compléter le corps d'une fonction,f
3253d66a-18aa-4b8b-b684-00d82947ebe6,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",t
33c1ad64-b9bf-43e5-881b-793bc4a1cf60,FO_1.2.3,Modifier le corps d'une fonction,f
359b10e6-6e92-4386-848c-72a682e7f20f,FO_4.2,Appeler une fonction déclaré,f
394c9ecb-dfc2-4107-9c83-d6ab36c7253d,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
3ef6cae6-63da-479f-8030-170d2c372774,FO_4.2,Appeler une fonction déclaré,f
4060422b-9ccf-4a3e-91cb-bdf56e7a7a07,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
413cd327-c26d-4e42-b07b-0652c33df90d,FO_4.2,Appeler une fonction déclaré,f
45514c89-eb82-426b-a83b-f4a384c87da7,FO_1.1.1,Définir une fonction,t
473bf7b7-9fa6-4eff-9464-3e59c434ff4d,FO_1.1.1.1,Déterminer le nom d'une fonction,f
4955f647-7c3e-4086-aaee-a132b1a99a71,FO_4.2,Appeler une fonction déclaré,f
4ad79d66-58e5-44eb-a864-77f0a910e82f,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
4c13094e-c1b3-40ab-87f0-65c64edf38db,FO_4.2,Appeler une fonction déclaré,t
4c1dba85-1376-4fc8-82a0-f0f91d146855,FO_4.2,Appeler une fonction déclaré,f
4ce36d73-9ceb-488a-b649-eb30d7ced90b,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
4d5a65fa-f6c1-4771-8d03-9c8709719621,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
522ca084-a724-4b13-9d7c-422d2fd35298,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
52775f68-e8f7-400d-82c1-80a3ab88b8fa,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
52e50ca4-0903-4c1e-940f-c8b904d04897,FO_4.2,Appeler une fonction déclaré,f
54a21c3f-2f3d-406e-85a7-271a6c8ed67d,FO_4.2,Appeler une fonction déclaré,f
59f356a0-deeb-4f62-868d-637a506b8209,FO_4.2,Appeler une fonction déclaré,f
5a59928b-eddf-4690-8092-fe9ace7f8f8d,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",t
5c3c94fa-db20-406a-a240-0bc2193916df,FO_4.2,Appeler une fonction déclaré,f
5c849733-663e-43cf-bb86-99d6ad47094f,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
5d22355a-9d61-4b0a-9320-781be90bfb3d,FO_4.2,Appeler une fonction déclaré,f
5fbb9ed6-bb31-4e76-a1a5-5a8e103f69e0,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
5ff6d270-0436-4951-ad03-9ac76a27eb1b,AL_1.1.1.2,Décomposer la tâche t en sous tâches,f
63b302a3-0126-4cf1-9593-e21aad9ffc19,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
63c1c96f-6243-4c1d-983e-fc35e76b2750,FO_1.1.1.6,Produire le corps d'une fonction,f
66e441bb-8c1a-43e1-84a7-6ff6f1791e49,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
6bd11a1b-40a4-4bb5-bfff-f7bba4380056,FO_1.1.1,Définir une fonction,t
6c91c2c5-30cb-4d47-8e30-0f5e89360492,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
6e572c3a-1d61-46d5-a225-2cb085681558,FO_4.2,Appeler une fonction déclaré,f
6f19f4d0-5099-4a16-83e0-fb04aa93318e,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
730ecf27-131c-4ff0-a906-4c2d3dc1e962,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,t
73956ed1-4977-4b8f-80f8-fc4a0f1cbd09,FO_1.1.1,Définir une fonction,t
7a0327eb-1b6d-4940-84a0-bd80d6ed4150,FO_1.2.3,Modifier le corps d'une fonction,f
7ab15ae8-a1ab-4102-8f64-b2082689f420,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
7aecbb0e-ec07-4e1d-bc2c-5e61d31650e1,FO_4.2,Appeler une fonction déclaré,f
7bf67ffd-6657-46b3-97ca-234c042d86c5,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
7d97a8d7-159e-4c95-ac37-5a46f9653fb6,FO_4.2,Appeler une fonction déclaré,f
83fd1852-7b7c-4c18-8c06-625b3bb447f9,FO_4.2,Appeler une fonction déclaré,f
84043729-49d8-44d4-912d-22714ca4df34,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
895abd45-74c6-45ec-96a1-51eb2e928af5,FO_4.2,Appeler une fonction déclaré,t
89cab7fb-ce7e-4b3d-a88e-dde8b3d550c6,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
8dfe5aff-a8c5-4b02-ab16-bf9e4fed8179,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
8ea36f5b-6606-43e6-b06e-fbad7e9dcbfb,FO_1.1.1.1,Déterminer le nom d'une fonction,f
941c2ce3-8e39-40e7-b2cd-df7432a06d35,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
95c321e5-c237-4721-bb68-18b98e0c18b4,FO_4.2,Appeler une fonction déclaré,f
976c3caa-f6c8-47bc-9cdb-01e4dd9f497b,FO_1.1.1,Définir une fonction,t
9f516f4d-5053-4eed-b59b-8eb5e8de0291,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",t
a028df3b-7761-4cd4-9b6c-d125a96175c4,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
a1ce7929-7c53-4ab8-846d-3d491cf70e14,FO_4.2,Appeler une fonction déclaré,f
a639d3cc-e409-45cb-be4a-5ecad33e221d,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
a769dedb-8195-41e5-a1a2-53b2804cc2c9,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
a95cac71-c425-406f-a5c4-58888cccb1c5,FO_4.2,Appeler une fonction déclaré,f
a9ba6baf-6984-4fe2-9cbe-2564fed4577d,FO_4.2,Appeler une fonction déclaré,f
acb623a9-96cd-4bb0-a923-b77dbc910e34,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
aee5e992-0646-4690-b2dd-8716e8fe96c6,FO_1.1.1.6,Produire le corps d'une fonction,f
b2042bf8-7eae-420d-af75-5033e5a3926a,FO_1.1.1.6,Produire le corps d'une fonction,f
b70574d7-8f01-4936-80e9-4b83659ffdcf,FO_1.1.1.6,Produire le corps d'une fonction,t
b90a125a-5e32-409d-b6cf-51137e01ff43,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
b91de6bc-43a8-4fbb-9139-6f1a3e957752,FO_4.2,Appeler une fonction déclaré,f
bdd31da8-a9ac-4e32-86c5-8532502e754e,FO_1.2.4,Compléter le corps d'une fonction,f
bf5df407-5571-4478-9abe-8b1141860982,FO_4.2,Appeler une fonction déclaré,f
c325b957-6a79-4ac1-af2b-d2b18dccdc37,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
c49733ee-d5d1-45cf-a1a3-8147f2eb6934,FO_4.2,Appeler une fonction déclaré,f
c8fdd59e-d4bd-426a-bdc2-bd8fc477aa03,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
cb58d8b7-f393-42bc-9dc6-b1a76fc4217c,FO_1.2.3,Modifier le corps d'une fonction,f
cccf718d-5c3c-47e0-8e69-44e079e2b0dc,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
d0752dd0-3ced-4342-b44f-2fae2107fbb1,FO_1.1.1.4,"Déterminer, le cas échéant, les éléments à retourner par une fonction",f
d0fecada-7d39-4ad3-97fa-d6f86f1deee7,FO_4.2,Appeler une fonction déclaré,f
d12c45b3-e72d-4aea-b019-18002f0947ca,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
d26e069e-5ce8-4e80-b0af-bbf5bfb876b2,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
d3785aca-e713-43e3-b629-46320604f3ac,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
d6516e03-92f4-463e-8090-3bd50488dfc0,FO_1.1.1.1,Déterminer le nom d'une fonction,f
d8b4918b-6b7f-4479-89e4-a432aee51780,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
d91bb875-55fd-487a-9df1-70131bde69f6,FO_4.2,Appeler une fonction déclaré,t
dad2ff20-20f2-4d29-85c4-cecfa3b1ea15,FO_4.2,Appeler une fonction déclaré,f
dad45616-6b93-4ec4-b000-fc9d6154b1e1,FO_4.2,Appeler une fonction déclaré,t
db52be1f-4cec-4977-9544-96282f905589,FO_4.2,Appeler une fonction déclaré,f
e3b9e3e8-637d-4e7c-817a-c62c58233d2b,FO_1.1.1.1,Déterminer le nom d'une fonction,f
e471b004-99cf-4623-9e6a-c47b78046a77,FO_4.2,Appeler une fonction déclaré,f
ea66ecfc-22f4-40e9-879a-b1e0274aefc2,FO_1.1.1.1,Déterminer le nom d'une fonction,f
ea807364-e560-4cd0-903c-e2e34d65a8c2,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",f
ee0cdcaa-7701-42f4-a987-9daf7a00d9a5,FO_1.2.4,Compléter le corps d'une fonction,f
f0474f24-26ac-40f1-92c2-021e907d2b31,FO_4.2,Appeler une fonction déclaré,f
f3b69e96-f583-4f66-8acc-093811a1cb3a,FO_4.2,Appeler une fonction déclaré,f
fae53527-9209-4375-8ff8-3cd2e4c99b05,FO_1.1.1,Définir une fonction,t
fb75b51c-5d06-4da0-89fb-48a457615195,FO_4.2,Appeler une fonction déclaré,f
fbef2951-cb9d-471a-a7eb-6083a5c56392,FO_1.1.1.2,"Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",t
fd0ac199-8bd8-4110-8659-17d36e3fc587,FO_4.2,Appeler une fonction déclaré,f
fef8559d-e17b-48f6-a15a-0dc4ce4e1993,FO_1.1.1,Définir une fonction,t
ff110059-1c7c-458c-9b5c-0d0fdecf6e64,FO_4.2,Appeler une fonction déclaré,f
ff4a647d-18bf-4cb1-a534-5b67b76051af,FO_4.2.1,Choisir l’argument avec lequel appeler la fonction déclaré,f
