feedback_id,exercise_platform_id,exercise_title,exercise_type,exercise_description,robot_map,possible_solutions,kc_names
95c321e5-c237-4721-bb68-18b98e0c18b4,,,,,,,
976c3caa-f6c8-47bc-9cdb-01e4dd9f497b,,,,,,,
9f516f4d-5053-4eed-b59b-8eb5e8de0291,,,,,,,
a028df3b-7761-4cd4-9b6c-d125a96175c4,116,,,,,,
a1ce7929-7c53-4ab8-846d-3d491cf70e14,116,,,,,,
a639d3cc-e409-45cb-be4a-5ecad33e221d,,,,,,,
a769dedb-8195-41e5-a1a2-53b2804cc2c9,109,,,,,,
a95cac71-c425-406f-a5c4-58888cccb1c5,110,,,,,,
a9ba6baf-6984-4fe2-9cbe-2564fed4577d,,,,,,,
acb623a9-96cd-4bb0-a923-b77dbc910e34,,,,,,,
aee5e992-0646-4690-b2dd-8716e8fe96c6,,,,,,,
b2042bf8-7eae-420d-af75-5033e5a3926a,,,,,,,
b70574d7-8f01-4936-80e9-4b83659ffdcf,,,,,,,
b90a125a-5e32-409d-b6cf-51137e01ff43,,,,,,,
b91de6bc-43a8-4fbb-9139-6f1a3e957752,,,,,,,
bdd31da8-a9ac-4e32-86c5-8532502e754e,,,,,,,
bf5df407-5571-4478-9abe-8b1141860982,,,,,,,
c325b957-6a79-4ac1-af2b-d2b18dccdc37,,,,,,,
c49733ee-d5d1-45cf-a1a3-8147f2eb6934,,,,,,,
c8fdd59e-d4bd-426a-bdc2-bd8fc477aa03,109,,,,,,
cb58d8b7-f393-42bc-9dc6-b1a76fc4217c,,,,,,,
cccf718d-5c3c-47e0-8e69-44e079e2b0dc,110,,,,,,
d0752dd0-3ced-4342-b44f-2fae2107fbb1,,,,,,,
d0fecada-7d39-4ad3-97fa-d6f86f1deee7,110,,,,,,
d12c45b3-e72d-4aea-b019-18002f0947ca,109,,,,,,
d26e069e-5ce8-4e80-b0af-bbf5bfb876b2,,,,,,,
d3785aca-e713-43e3-b629-46320604f3ac,,,,,,,
d6516e03-92f4-463e-8090-3bd50488dfc0,,,,,,,
d8b4918b-6b7f-4479-89e4-a432aee51780,116,,,,,,
d91bb875-55fd-487a-9df1-70131bde69f6,,,,,,,
dad2ff20-20f2-4d29-85c4-cecfa3b1ea15,110,,,,,,
dad45616-6b93-4ec4-b000-fc9d6154b1e1,,,,,,,
db52be1f-4cec-4977-9544-96282f905589,,,,,,,
e3b9e3e8-637d-4e7c-817a-c62c58233d2b,,,,,,,
e471b004-99cf-4623-9e6a-c47b78046a77,116,,,,,,
ea66ecfc-22f4-40e9-879a-b1e0274aefc2,112,,,,,,
ea807364-e560-4cd0-903c-e2e34d65a8c2,,,,,,,
ee0cdcaa-7701-42f4-a987-9daf7a00d9a5,,,,,,,
f0474f24-26ac-40f1-92c2-021e907d2b31,,,,,,,
f3b69e96-f583-4f66-8acc-093811a1cb3a,,,,,,,
fae53527-9209-4375-8ff8-3cd2e4c99b05,,,,,,,
fb75b51c-5d06-4da0-89fb-48a457615195,,,,,,,
fbef2951-cb9d-471a-a7eb-6083a5c56392,,,,,,,
fd0ac199-8bd8-4110-8659-17d36e3fc587,,,,,,,
fef8559d-e17b-48f6-a15a-0dc4ce4e1993,,,,,,,
ff110059-1c7c-458c-9b5c-0d0fdecf6e64,,,,,,,
ff4a647d-18bf-4cb1-a534-5b67b76051af,116,,,,,,
